section_id,section_title,section_viet,section_num,section_note,item_code,item_viet,item_eng,price,size_S,size_M,size_L,size_XL
,,,,,509a,Mì Xào Mềm Rau Cải Đậu Hũ,Stir fried mixed vegetable & tofu with soft egg noodle,17.99,,,,
,,,,,510,Cơm Chiên Chay,"Vegetarian, mixed vegetable, tofu fried rice",17.99,,,,
,,,,,511,Pad Thái Chay,"Thai style stir fried mixed vegetable, tofu with rice noodle",17.99,,,,
,,,,,512,Bún Xào Singapore Chay,"Stir fried vermicelli with curry, tofu & mixed vegetable (Singapore style)",17.99,,,,
,,,,,513,Hủ Tiếu Xào Rau Cải Đậu Hũ,Stir fried rice noodle with tofu & mixed vegetable,17.99,,,,
friedrice,Fried Rice / Noodle,Cơm Chiên · Mì / Hủ Tiếu Xào,10,,601,Cơm Chiên Gà Thái Lan,"Thai style chicken with egg, peas, carrot, corn fried rice",17.99,,,,
,,,,,602,Cơm Chiên Tôm Thái Lan,"Thai style shrimp with egg, peas, carrot, corn fried rice",17.99,,,,
,,,,,603,Cơm Chiên Thượng Hải,"Shanghai fried rice with egg, BBQ pork, shrimp, corn, peas, carrot, lettuce",17.99,,,,
,,,,,604,Cơm Chiên Dương Châu,"Yang Chow fried rice with egg, BBQ pork, shrimp, sausage, peas, carrot, corn",17.99,,,,
,,,,,605,Cơm Chiên Gà,"Chicken with egg, peas, carrot, corn fried rice",17.99,,,,
,,,,,606,Cơm Chiên Tôm,"Shrimp with egg, peas, carrot, corn fried rice",17.99,,,,
,,,,,606a,Cơm Chiên Đồ Biển,"Seafood with egg, peas, carrot, corn fried rice",17.99,,,,
,,,,,607,"Cơm Chiên Gà, Tôm","Chicken & shrimp with egg, peas, corn & carrot fried rice",17.99,,,,
,,,,,608,Cơm Chiên Gà Càri,"Curry chicken with egg, peas, carrot, corn fried rice",17.99,,,,
,,,,,609,Cơm Chiên Bò Càri,"Curry beef with egg, peas, carrot, corn fried rice",18.50,,,,
,,,,,610,Cơm Chiên Xá Xíu,"BBQ pork with egg, peas, carrot, corn fried rice",17.99,,,,
,,,,,611,Cơm Chiên Gà Hạt Điều,"Chicken, egg with cashew, peas, carrot, corn fried rice",17.99,,,,
,,,,,612,Cơm Chiên Đặc Biệt,"Special fried rice, shrimp, chicken, beef, BBQ pork, egg, peas, carrot, corn",18.50,,,,
,,,,,613,Mì Xào Đồ Biển Rau Cải,Assorted seafood & vegetables w/ crispy or soft egg noodle,17.99,,,,
,,,,,614,Mì Xào Giòn Đặc Biệt,"Special stir fried beef, chicken, seafood & vegetables, crispy or soft egg noodle",18.50,,,,
,,,,,615,Mì Xào Giòn Tôm Rau Cải,Shrimp & vegetables with crispy or soft egg noodle,17.99,,,,
,,,,,616,Mì Xào Giòn Bò Rau Cải,Beef & vegetables with crispy or soft egg noodle,18.50,,,,
,,,,,617,Pad Thái Tôm Gà Rau Cải,"Thai style stir fried rice noodle with shrimp, chicken, tofu, egg & vegetables",17.99,,,,
,,,,,618,Pad Thái Đồ Biển Rau Cải,"Thai style stir fried rice noodle with assorted seafood, tofu, egg & vegetable",17.99,,,,
,,,,,619,Hủ Tiếu Xào Đồ Biển Rau Cải,Stir fried rice noodle with assorted seafood & mixed vegetable,17.99,,,,
,,,,,620,Hủ Tiếu Xào Đặc Biệt,"Special stir fried rice noodle with beef, chicken, seafood & mixed vegetable",18.50,,,,
,,,,,621,Hủ Tiếu Xào Tôm Rau Cải,Stir fried rice noodle with shrimp & mixed vegetable,17.99,,,,
,,,,,622,Hủ Tiếu Xào Bò Rau Cải,Stir fried rice noodle with beef & mixed vegetable,18.50,,,,
,,,,,623,Hủ Tiếu Xào Gà Rau Cải,Stir fried rice noodle with chicken & mixed vegetable,17.99,,,,
,,,,,624,Hủ Tiếu Xào Bò Hành Gừng,"Stir fried rice noodle with beef, ginger & green onion",18.50,,,,
